2020-12-11 10:14:32.763 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 119] |  >>> Done Create BootStrap... 
2020-12-11 10:14:33.535 [INFO ] com.it_cous.service.PISManager          [initMaster : 92] | -----PIS master info loading complete----- 
2020-12-11 10:15:05.750 [INFO ] com.it_cous.service.PISManager          [initMaster : 51] | -----PIS master info loading----- 
2020-12-11 10:15:05.816 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 105] |  >>> Start Create BootStrap... 
2020-12-11 10:15:05.823 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 119] |  >>> Done Create BootStrap... 
2020-12-11 10:15:06.581 [INFO ] com.it_cous.service.PISManager          [initMaster : 92] | -----PIS master info loading complete----- 
2020-12-11 10:16:33.864 [INFO ] com.it_cous.service.PISManager          [initMaster : 51] | -----PIS master info loading----- 
2020-12-11 10:16:33.931 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 105] |  >>> Start Create BootStrap... 
2020-12-11 10:16:33.937 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 119] |  >>> Done Create BootStrap... 
2020-12-11 10:16:34.687 [INFO ] com.it_cous.service.PISManager          [initMaster : 92] | -----PIS master info loading complete----- 
2020-12-11 10:16:51.457 [INFO ] com.it_cous.service.PISManager          [initMaster : 51] | -----PIS master info loading----- 
2020-12-11 10:16:51.524 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 105] |  >>> Start Create BootStrap... 
2020-12-11 10:16:51.531 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 119] |  >>> Done Create BootStrap... 
2020-12-11 10:16:52.298 [INFO ] com.it_cous.service.PISManager          [initMaster : 92] | -----PIS master info loading complete----- 
2020-12-11 10:17:35.015 [INFO ] com.it_cous.service.PISManager          [initMaster : 51] | -----PIS master info loading----- 
2020-12-11 10:17:35.083 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 105] |  >>> Start Create BootStrap... 
2020-12-11 10:17:35.090 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 119] |  >>> Done Create BootStrap... 
2020-12-11 10:17:35.105 [INFO ] com.it_cous.service.PISManager          [initMaster : 92] | -----PIS master info loading complete----- 
2020-12-11 10:17:45.786 [INFO ] com.it_cous.service.PISManager          [initMaster : 51] | -----PIS master info loading----- 
2020-12-11 10:17:45.863 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 105] |  >>> Start Create BootStrap... 
2020-12-11 10:17:45.870 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 119] |  >>> Done Create BootStrap... 
2020-12-11 10:17:45.886 [INFO ] com.it_cous.service.PISManager          [initMaster : 92] | -----PIS master info loading complete----- 
2020-12-11 14:16:59.413 [INFO ] com.it_cous.service.PISManager          [initMaster : 51] | -----PIS master info loading----- 
2020-12-11 14:16:59.502 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 105] |  >>> Start Create BootStrap... 
2020-12-11 14:16:59.510 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 119] |  >>> Done Create BootStrap... 
2020-12-11 14:16:59.527 [INFO ] com.it_cous.service.PISManager          [initMaster : 92] | -----PIS master info loading complete----- 
